@relation zookeeper_TE4
@attribute SIZE numeric
@attribute NR numeric
@attribute N_AUTH numeric
@attribute LOC_ADDED numeric
@attribute MAX_LOC_ADDED numeric
@attribute AVG_LOC_ADDED numeric
@attribute CHURN numeric
@attribute MAX_CHURN numeric
@attribute AVG_CHURN numeric
@attribute IS_BUGGY {'true', 'false'}
@data
164,0,0,0,0,0.0,0,0,0.0,false
34,1,1,1,1,1.0,1,1,1.0,false
42,0,0,0,0,0.0,0,0,0.0,false
81,1,1,1,1,1.0,1,1,1.0,false
40,1,1,1,1,1.0,1,1,1.0,false
76,1,1,2,2,2.0,2,2,2.0,false
91,1,1,12,12,12.0,3,3,3.0,false
114,0,0,0,0,0.0,0,0,0.0,false
41,0,0,0,0,0.0,0,0,0.0,false
55,0,0,0,0,0.0,0,0,0.0,false
69,0,0,0,0,0.0,0,0,0.0,true
506,9,2,35,10,3.888888888888889,42,14,4.666666666666667,true
93,1,1,5,5,5.0,5,5,5.0,false
109,3,2,3,2,1.0,5,2,1.6666666666666667,true
230,3,2,78,75,26.0,37,36,12.333333333333334,false
199,3,2,4,3,1.3333333333333333,22,16,7.333333333333333,false
62,1,1,1,1,1.0,4,4,4.0,false
35,0,0,0,0,0.0,0,0,0.0,false
124,4,2,47,43,11.75,27,17,6.75,false
148,1,1,0,0,0.0,5,5,5.0,false
92,0,0,0,0,0.0,0,0,0.0,false
576,8,2,133,63,16.625,78,32,9.75,true
82,0,0,0,0,0.0,0,0,0.0,false
46,0,0,0,0,0.0,0,0,0.0,false
132,0,0,0,0,0.0,0,0,0.0,false
457,0,0,0,0,0.0,0,0,0.0,false
129,0,0,0,0,0.0,0,0,0.0,false
164,1,1,10,10,10.0,0,0,0.0,false
78,0,0,0,0,0.0,0,0,0.0,false
110,0,0,0,0,0.0,0,0,0.0,false
72,0,0,0,0,0.0,0,0,0.0,false
89,1,1,1,1,1.0,4,4,4.0,false
99,0,0,0,0,0.0,0,0,0.0,false
76,1,1,1,1,1.0,6,6,6.0,false
32,0,0,0,0,0.0,0,0,0.0,false
833,0,0,0,0,0.0,0,0,0.0,false
72,0,0,0,0,0.0,0,0,0.0,false
957,3,2,148,111,49.333333333333336,71,67,23.666666666666668,true
68,0,0,0,0,0.0,0,0,0.0,false
171,6,2,8,4,1.3333333333333333,23,17,3.8333333333333335,false
163,2,1,1,1,0.5,33,22,16.5,false
218,1,1,0,0,0.0,21,21,21.0,false
98,1,1,1,1,1.0,1,1,1.0,false
72,0,0,0,0,0.0,0,0,0.0,false
53,0,0,0,0,0.0,0,0,0.0,false
641,3,1,24,19,8.0,19,19,6.333333333333333,false
141,1,1,1,1,1.0,1,1,1.0,false
692,6,2,139,124,23.166666666666668,46,38,7.666666666666667,true
31,0,0,0,0,0.0,0,0,0.0,false
88,0,0,0,0,0.0,0,0,0.0,false
