JAVA_CLASS,RELEASE,SIZE,NR,N_AUTH,LOC_ADDED,MAX_LOC_ADDED,AVG_LOC_ADDED,CHURN,MAX_CHURN,AVG_CHURN,IS_BUGGY
hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryManager.java,1,29,1,1,1,1,1.0,0,0,0.0,true
hedwig-client/src/main/java/org/apache/hedwig/util/PathUtils.java,1,56,0,0,0,0,0.0,0,0,0.0,true
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java,1,204,4,2,6,2,1.5,80,75,20.0,true
bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServer.java,1,393,10,3,96,48,9.6,190,90,19.0,true
hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryEndPoint.java,1,28,0,0,0,0,0.0,0,0,0.0,false
hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeReconnectCallback.java,1,114,3,1,9,4,3.0,1,1,0.3333333333333333,true
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,1,1026,13,3,220,81,16.923076923076923,481,194,37.0,true
hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigClientImpl.java,1,369,0,0,0,0,0.0,0,0,0.0,false
hedwig-client/src/main/java/org/apache/hedwig/util/CallbackUtils.java,1,183,3,2,20,16,6.666666666666667,2,2,0.6666666666666666,false
hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConsumeHandler.java,1,58,1,1,2,2,2.0,1,1,1.0,false
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java,1,728,5,2,203,121,40.6,168,77,33.6,true
hedwig-client/src/main/java/org/apache/hedwig/client/api/Client.java,1,42,0,0,0,0,0.0,0,0,0.0,false
hedwig-server/src/main/java/org/apache/hedwig/server/common/ServerConfiguration.java,1,289,1,1,1,1,1.0,0,0,0.0,true
hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsynBKCallback.java,1,103,1,1,30,30,30.0,0,0,0.0,false
bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieClient.java,1,181,6,2,22,9,3.6666666666666665,11,4,1.8333333333333333,true
hedwig-client/src/main/java/org/apache/hedwig/util/Pair.java,1,42,0,0,0,0,0.0,0,0,0.0,false
hedwig-server/src/main/java/org/apache/hedwig/server/handlers/BaseHandler.java,1,64,1,1,16,16,16.0,0,0,0.0,false
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java,1,548,8,2,492,401,61.5,138,59,17.25,false
hedwig-client/src/main/java/org/apache/hedwig/util/HedwigSocketAddress.java,1,138,0,0,0,0,0.0,0,0,0.0,true
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadOnlyLedgerHandle.java,1,78,0,0,0,0,0.0,0,0,0.0,false
hedwig-server/src/main/java/org/apache/hedwig/server/topics/TrivialOwnAllTopicManager.java,1,52,1,1,2,2,2.0,0,0,0.0,true
hedwig-client/src/main/java/org/apache/hedwig/client/data/MessageConsumeData.java,1,58,1,1,1,1,1.0,0,0,0.0,false
hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkSubscriber.java,1,137,3,1,13,10,4.333333333333333,1,1,0.3333333333333333,true
hedwig-client/src/main/java/org/apache/hedwig/client/netty/ClientChannelPipelineFactory.java,1,58,2,1,5,3,2.5,0,0,0.0,false
hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslClientContextFactory.java,1,41,0,0,0,0,0.0,0,0,0.0,false
hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/ServerRedirectLoopException.java,1,38,1,1,2,2,2.0,0,0,0.0,false
bookkeeper-server/src/main/java/org/apache/bookkeeper/util/StringUtils.java,1,69,2,2,29,25,14.5,25,25,12.5,false
hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AbstractSubscriptionManager.java,1,452,3,2,20,17,6.666666666666667,2,1,0.6666666666666666,true
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/RoundRobinDistributionSchedule.java,1,87,1,1,1,1,1.0,0,0,0.0,false
hedwig-server/src/main/java/org/apache/hedwig/server/handlers/UnsubscribeHandler.java,1,72,1,1,1,1,1.0,0,0,0.0,false
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/SyncCounter.java,1,85,1,1,1,1,1.0,0,0,0.0,false
hedwig-server/src/main/java/org/apache/hedwig/server/delivery/ChannelEndPoint.java,1,81,0,0,0,0,0.0,0,0,0.0,true
hedwig-server/src/main/java/org/apache/hedwig/server/topics/TopicManager.java,1,75,1,1,6,6,6.0,0,0,0.0,true
hedwig-server/src/main/java/org/apache/hedwig/server/common/TerminateJVMExceptionHandler.java,1,32,1,1,3,3,3.0,1,1,1.0,true
hedwig-client/src/main/java/org/apache/hedwig/client/netty/WriteCallback.java,1,99,3,1,9,4,3.0,1,1,0.3333333333333333,false
hedwig-server/src/main/java/org/apache/hedwig/server/netty/UmbrellaHandler.java,1,159,2,1,4,2,2.0,1,1,0.5,false
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java,1,205,3,1,7,4,2.3333333333333335,1,1,0.3333333333333333,false
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java,1,271,3,2,9,8,3.0,22,12,7.333333333333333,true
hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/FakeBookie.java,1,101,2,1,50,48,25.0,1,1,0.5,false
hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubSubscriber.java,1,70,2,1,6,4,3.0,0,0,0.0,false
bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java,1,514,0,0,0,0,0.0,0,0,0.0,false
bookkeeper-server/src/main/java/org/apache/bookkeeper/util/Main.java,1,54,2,2,5,4,2.5,0,0,0.0,false
hedwig-server/src/main/java/org/apache/hedwig/server/common/TopicOpQueuer.java,1,111,0,0,0,0,0.0,0,0,0.0,false
hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanRequest.java,1,64,1,1,1,1,1.0,0,0,0.0,false
hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PubSubCallback.java,1,88,2,1,3,2,1.5,1,1,0.5,false
hedwig-client/src/main/java/org/apache/hedwig/util/Option.java,1,43,0,0,0,0,0.0,0,0,0.0,false
hedwig-server/src/main/java/org/apache/hedwig/server/topics/ZkTopicManager.java,1,429,2,1,77,75,38.5,1,1,0.5,true
hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheKey.java,1,74,1,1,2,2,2.0,0,0,0.0,false
hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheValue.java,1,94,2,1,3,2,1.5,1,1,0.5,false
hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeResponseHandler.java,1,336,5,3,78,35,15.6,7,3,1.4,true
hedwig-server/src/main/java/org/apache/hedwig/server/handlers/SubscribeHandler.java,1,154,2,1,11,9,5.5,1,1,0.5,false
bookkeeper-server/src/main/java/org/apache/bookkeeper/util/LocalBookKeeper.java,1,234,5,3,204,101,40.8,25,23,5.0,true
hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/HedwigBenchmark.java,1,128,4,2,9,5,2.25,1,1,0.25,false
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java,1,762,11,2,700,520,63.63636363636363,223,75,20.272727272727273,true
hedwig-client/src/main/java/org/apache/hedwig/client/conf/ClientConfiguration.java,1,149,2,1,3,2,1.5,1,1,0.5,false
hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/MessageFilter.java,1,31,1,1,1,1,1.0,0,0,0.0,false
bookkeeper-server/src/main/java/org/apache/bookkeeper/util/ZkUtils.java,1,94,0,0,0,0,0.0,0,0,0.0,false
hedwig-client/src/main/java/org/apache/hedwig/conf/AbstractConfiguration.java,1,54,2,2,1,1,0.5,9,9,4.5,false
hedwig-client/src/main/java/org/apache/hedwig/client/api/Publisher.java,1,63,1,1,4,4,4.0,0,0,0.0,false
hedwig-client/src/main/java/org/apache/hedwig/client/netty/ResponseHandler.java,1,366,4,1,24,14,6.0,1,1,0.25,true
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DigestManager.java,1,185,4,2,22,16,5.5,1,1,0.25,false
hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigSubscriber.java,1,586,3,1,59,48,19.666666666666668,1,1,0.3333333333333333,true
bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/AbstractConfiguration.java,1,105,1,1,1,1,1.0,44,44,44.0,false
bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieProtocol.java,1,154,3,2,8,5,2.6666666666666665,79,68,26.333333333333332,true
hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/SubscriptionEventListener.java,1,57,1,1,4,4,4.0,0,0,0.0,false
hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/SubscriptionManager.java,1,104,1,1,7,7,7.0,0,0,0.0,true
hedwig-client/src/main/java/org/apache/hedwig/client/api/Subscriber.java,1,237,1,1,20,20,20.0,0,0,0.0,true
hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PublishResponseHandler.java,1,71,3,1,7,3,2.3333333333333335,1,1,0.3333333333333333,false
hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ChannelTracker.java,1,124,1,1,3,3,3.0,0,0,0.0,false
bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManagerFactory.java,1,98,0,0,0,0,0.0,0,0,0.0,false
hedwig-server/src/main/java/org/apache/hedwig/server/regions/RegionManager.java,1,183,3,1,19,12,6.333333333333333,3,3,1.0,true
hedwig-client/src/main/java/org/apache/hedwig/util/ConcurrencyUtils.java,1,49,0,0,0,0,0.0,0,0,0.0,false
bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/ServerStats.java,1,148,0,0,0,0,0.0,0,0,0.0,false
