DATASET,TRAINING_RELEASES,%TRAINING_INSTANCES,CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,PRECISION,RECALL,AUC,KAPPA,TP,FP,TN,FN,NPOFB20,COST
zookeeper,1,49.840255591054316,Naive Bayes,false,false,false,0.0,0.0,0.47696301103179756,0.0,0.0,0.0,268.0,46.0,0.09090909090909091,460
zookeeper,2,64.93775933609959,Naive Bayes,false,false,false,0.0,0.0,0.6048243001786778,0.0,0.0,0.0,292.0,46.0,0.13043478260869565,460
zookeeper,3,74.03993855606758,Naive Bayes,false,false,false,0.0,0.0,0.6832614942528735,-0.005830195554475389,0.0,1.0,289.0,48.0,0.125,481
zookeeper,4,77.22419928825623,Naive Bayes,false,false,false,0.4444444444444444,0.18181818181818182,0.6364639037433155,0.20518358531317538,8.0,10.0,330.0,36.0,0.2857142857142857,370
zookeeper,5,81.44927536231884,Naive Bayes,false,false,false,0.3333333333333333,0.017857142857142856,0.6696700783972126,0.01935483870967742,1.0,2.0,326.0,55.0,0.18518518518518517,552
zookeeper,6,83.80566801619433,Naive Bayes,false,false,false,0.8571428571428571,0.08571428571428572,0.6682900432900433,0.12810194500335337,6.0,1.0,329.0,64.0,0.22857142857142856,641
zookeeper,7,83.72881355932203,Naive Bayes,false,false,false,0.46153846153846156,0.0967741935483871,0.6858504398826979,0.12062347330464107,6.0,7.0,411.0,56.0,0.1935483870967742,567
zookeeper,8,85.90564938846826,Naive Bayes,false,false,false,0.5454545454545454,0.08333333333333333,0.6447882955771306,0.10946408209806179,6.0,5.0,407.0,66.0,0.16666666666666666,665
zookeeper,9,80.8761186999529,Naive Bayes,false,false,false,0.3333333333333333,0.08333333333333333,0.7576295045045045,0.10146407899216817,6.0,12.0,728.0,66.0,0.3055555555555556,672
zookeeper,10,83.84676145339652,Naive Bayes,false,false,false,0.5,0.08823529411764706,0.6992058823529411,0.12825977933801375,6.0,6.0,744.0,62.0,0.35294117647058826,626
zookeeper,11,90.62276306370795,Naive Bayes,false,false,false,0.6216216216216216,0.2875,0.8383164414414415,0.32830215931248613,23.0,14.0,430.0,57.0,0.325,584
zookeeper,12,100.0,Naive Bayes,false,false,false,0.0,0.0,NaN,1.0,0.0,0.0,0.0,0.0,0.0,0
zookeeper,13,91.39679424272163,Naive Bayes,false,false,false,0.5,0.11363636363636363,0.6864103362391034,0.13136165740879743,10.0,10.0,428.0,78.0,0.1590909090909091,790
zookeeper,14,92.05058717253839,Naive Bayes,false,false,false,0.6363636363636364,0.07446808510638298,0.684025394646534,0.09975267930750199,7.0,4.0,430.0,87.0,0.17391304347826086,874
zookeeper,15,92.63598326359832,Naive Bayes,false,false,false,0.9090909090909091,0.10204081632653061,0.7319174181300427,0.15170770452740256,10.0,1.0,429.0,88.0,0.16326530612244897,881
zookeeper,16,92.65960196433187,Naive Bayes,false,false,false,1.0,0.11702127659574468,0.7310126582278481,0.18112971583408607,11.0,0.0,474.0,83.0,0.19148936170212766,830
zookeeper,17,93.09432146294515,Naive Bayes,false,false,false,0.8823529411764706,0.11363636363636363,0.6186497326203209,0.15711147856561125,15.0,2.0,440.0,117.0,0.13636363636363635,1172
zookeeper,18,93.54040063020481,Naive Bayes,false,false,false,0.6363636363636364,0.04861111111111111,0.6143087855297158,0.0567352742360318,7.0,4.0,426.0,137.0,0.09859154929577464,1374
zookeeper,19,93.9323467230444,Naive Bayes,false,false,false,0.875,0.041666666666666664,0.5900774102744546,0.054384965831434894,7.0,1.0,405.0,161.0,0.10843373493975904,1611
zookeeper,20,93.99841017488076,Naive Bayes,false,false,false,0.8157894736842105,0.18452380952380953,0.6924148099606815,0.22103603926345203,31.0,7.0,429.0,137.0,0.19047619047619047,1377
zookeeper,21,93.8981153200224,Naive Bayes,false,false,false,0.4716981132075472,0.16891891891891891,0.6620820425168251,0.14695160928079065,25.0,28.0,478.0,123.0,0.08108108108108109,1258
