JAVA_CLASS,RELEASE,SIZE,NR,N_AUTH,LOC_ADDED,MAX_LOC_ADDED,AVG_LOC_ADDED,CHURN,MAX_CHURN,AVG_CHURN,IS_BUGGY
src/java/main/org/apache/jute/compiler/JByte.java,2,35,0,0,0,0,0.0,0,0,0.0,false
src/java/main/org/apache/jute/compiler/JDouble.java,2,41,0,0,0,0,0.0,0,0,0.0,false
src/java/main/org/apache/zookeeper/server/auth/ProviderRegistry.java,2,78,0,0,0,0,0.0,0,0,0.0,false
src/java/jmx/org/apache/zookeeper/server/quorum/ObservableFollowerZooKeeperServer.java,2,55,0,0,0,0,0.0,0,0,0.0,false
src/java/main/org/apache/jute/compiler/CGenerator.java,2,88,0,0,0,0,0.0,0,0,0.0,false
src/java/jmx/org/apache/zookeeper/server/util/ServerObserver.java,2,38,0,0,0,0,0.0,0,0,0.0,false
src/java/main/org/apache/zookeeper/server/quorum/Vote.java,2,69,0,0,0,0,0.0,0,0,0.0,true
src/java/main/org/apache/zookeeper/server/PrepRequestProcessor.java,2,460,0,0,0,0,0.0,0,0,0.0,true
src/java/main/org/apache/jute/RecordReader.java,2,98,0,0,0,0,0.0,0,0,0.0,false
src/java/main/org/apache/zookeeper/server/quorum/FollowerRequestProcessor.java,2,107,0,0,0,0,0.0,0,0,0.0,true
src/java/jmx/org/apache/zookeeper/server/quorum/ObservableLeader.java,2,82,0,0,0,0,0.0,0,0,0.0,false
src/java/main/org/apache/zookeeper/server/quorum/LeaderElection.java,2,194,0,0,0,0,0.0,0,0,0.0,false
src/java/main/org/apache/zookeeper/server/SessionTracker.java,2,58,0,0,0,0,0.0,0,0,0.0,false
src/java/main/org/apache/zookeeper/server/ZooKeeperServerMain.java,2,86,1,1,2,2,2.0,6,6,6.0,false
src/java/main/org/apache/zookeeper/server/ZooTrace.java,2,92,0,0,0,0,0.0,0,0,0.0,false
src/java/main/org/apache/zookeeper/server/quorum/QuorumCnxManager.java,2,564,0,0,0,0,0.0,0,0,0.0,true
src/java/jmx/org/apache/zookeeper/jmx/server/ConnectionBean.java,2,112,0,0,0,0,0.0,0,0,0.0,false
src/java/main/org/apache/zookeeper/server/PurgeTxnLog.java,2,94,0,0,0,0,0.0,0,0,0.0,false
src/java/main/org/apache/jute/compiler/generated/SimpleCharStream.java,2,457,0,0,0,0,0.0,0,0,0.0,false
src/java/main/org/apache/zookeeper/server/upgrade/DataNodeV1.java,2,129,0,0,0,0,0.0,0,0,0.0,false
src/java/jmx/org/apache/zookeeper/jmx/server/DataTreeBean.java,2,88,0,0,0,0,0.0,0,0,0.0,false
src/java/main/org/apache/zookeeper/server/quorum/FollowerSessionTracker.java,2,85,0,0,0,0,0.0,0,0,0.0,false
src/java/jmx/org/apache/zookeeper/server/ManagedZooKeeperServerMain.java,2,86,1,1,1,1,1.0,7,7,7.0,false
src/java/main/org/apache/jute/compiler/generated/Token.java,2,99,0,0,0,0,0.0,0,0,0.0,false
src/java/main/org/apache/jute/compiler/generated/RccTokenManager.java,2,833,0,0,0,0,0.0,0,0,0.0,false
src/java/main/org/apache/zookeeper/server/quorum/AuthFastLeaderElection.java,2,898,0,0,0,0,0.0,0,0,0.0,true
src/java/jmx/org/apache/zookeeper/jmx/server/quorum/QuorumMXBean.java,2,33,0,0,0,0,0.0,0,0,0.0,false
src/java/jmx/org/apache/zookeeper/jmx/server/ZooKeeperServerBean.java,2,117,0,0,0,0,0.0,0,0,0.0,false
src/java/main/org/apache/zookeeper/server/quorum/LeaderZooKeeperServer.java,2,88,0,0,0,0,0.0,0,0,0.0,false
src/java/jmx/org/apache/zookeeper/jmx/server/quorum/FollowerBean.java,2,28,0,0,0,0,0.0,0,0,0.0,false
src/java/jmx/org/apache/zookeeper/server/util/EventInfo.java,2,30,0,0,0,0,0.0,0,0,0.0,false
src/java/main/org/apache/zookeeper/server/Request.java,2,197,0,0,0,0,0.0,0,0,0.0,false
src/java/main/org/apache/jute/compiler/JField.java,2,99,0,0,0,0,0.0,0,0,0.0,false
src/java/main/org/apache/zookeeper/server/LogFormatter.java,2,72,0,0,0,0,0.0,0,0,0.0,false
src/java/jmx/org/apache/zookeeper/server/util/ObserverManager.java,2,95,0,0,0,0,0.0,0,0,0.0,false
src/java/main/org/apache/zookeeper/KeeperException.java,2,336,0,0,0,0,0.0,0,0,0.0,false
src/java/main/org/apache/jute/compiler/JType.java,2,142,0,0,0,0,0.0,0,0,0.0,false
src/java/main/org/apache/zookeeper/server/quorum/FastLeaderElection.java,2,626,0,0,0,0,0.0,0,0,0.0,true
src/java/main/org/apache/jute/compiler/generated/RccConstants.java,2,88,0,0,0,0,0.0,0,0,0.0,false
src/java/main/org/apache/zookeeper/server/quorum/QuorumPeer.java,2,590,0,0,0,0,0.0,0,0,0.0,true
src/java/jmx/org/apache/zookeeper/server/quorum/ManagedQuorumPeer.java,2,225,0,0,0,0,0.0,0,0,0.0,false
src/java/main/org/apache/jute/XmlOutputArchive.java,2,252,0,0,0,0,0.0,0,0,0.0,false
src/java/main/org/apache/zookeeper/server/upgrade/UpgradeSnapShotV1.java,2,323,0,0,0,0,0.0,0,0,0.0,false
src/java/main/org/apache/zookeeper/server/SyncRequestProcessor.java,2,144,1,1,5,5,5.0,12,12,12.0,true
src/java/main/org/apache/zookeeper/server/RequestProcessor.java,2,37,0,0,0,0,0.0,0,0,0.0,false
src/java/main/org/apache/zookeeper/server/ByteBufferInputStream.java,2,72,0,0,0,0,0.0,0,0,0.0,false
src/java/main/org/apache/jute/compiler/JavaGenerator.java,2,62,0,0,0,0,0.0,0,0,0.0,false
src/java/main/org/apache/zookeeper/server/auth/AuthenticationProvider.java,2,81,0,0,0,0,0.0,0,0,0.0,false
src/java/main/org/apache/jute/Record.java,2,33,0,0,0,0,0.0,0,0,0.0,false
src/java/main/org/apache/zookeeper/WatchedEvent.java,2,81,0,0,0,0,0.0,0,0,0.0,false
src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LeaderMXBean.java,2,26,0,0,0,0,0.0,0,0,0.0,false
src/java/jmx/org/apache/zookeeper/server/ZooKeeperObserverNotifier.java,2,76,0,0,0,0,0.0,0,0,0.0,false
src/java/main/org/apache/jute/compiler/CppGenerator.java,2,83,0,0,0,0,0.0,0,0,0.0,false
src/java/main/org/apache/zookeeper/server/FinalRequestProcessor.java,2,265,0,0,0,0,0.0,0,0,0.0,false
src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LeaderElectionBean.java,2,43,0,0,0,0,0.0,0,0,0.0,false
src/java/main/org/apache/zookeeper/server/util/Profiler.java,2,40,0,0,0,0,0.0,0,0,0.0,false
