ID,Size,prob,actual
163,79.0,2.2254103632870947E-4,false
164,926.0,8.889771419481878E-4,false
165,60.0,2.2254103632870947E-4,false
166,48.0,8.904019264757982E-5,false
167,254.0,8.889771419481878E-4,false
168,157.0,4.448840627366838E-4,false
169,147.0,1.780486783179235E-4,false
170,195.0,8.889771419481878E-4,true
171,248.0,8.889771419481878E-4,false
172,138.0,8.889771419481878E-4,false
173,371.0,4.448840627366838E-4,false
174,491.0,8.889771419481878E-4,false
175,180.0,2.2254103632870947E-4,false
176,66.0,1.780486783179235E-4,false
177,168.0,4.448840627366838E-4,false
178,72.0,9.89315898555732E-5,false
179,27.0,5.238042482114334E-5,false
180,309.0,8.889771419481878E-4,false
181,132.0,1.483827050464425E-4,false
182,64.0,1.271905680056756E-4,false
183,1009.0,8.889771419481878E-4,false
184,262.0,8.889771419481878E-4,false
185,74.0,5.238042482114334E-5,false
186,32.0,0.019775556442796775,false
187,138.0,0.9912502386614132,false
188,132.0,1.483827050464425E-4,false
189,74.0,5.238042482114334E-5,false
190,86.0,4.448840627366838E-4,false
191,148.0,1.780486783179235E-4,false
192,752.0,8.889771419481878E-4,false
193,125.0,4.448840627366838E-4,false
194,105.0,2.2254103632870947E-4,false
195,271.0,8.889771419481878E-4,true
196,174.0,2.966773665125466E-4,false
197,1038.0,8.889771419481878E-4,false
198,68.0,8.889771419481878E-4,false
199,358.0,8.889771419481878E-4,false
200,76.0,2.2254103632870947E-4,false
201,83.0,2.966773665125466E-4,false
202,51.0,1.780486783179235E-4,false
203,151.0,8.889771419481878E-4,false
204,657.0,8.889771419481878E-4,false
205,187.0,8.889771419481878E-4,false
206,55.0,2.966773665125466E-4,false
207,25.0,2.966773665125466E-4,false
208,29.0,2.966773665125466E-4,false
209,37.0,7.420236287054482E-5,false
210,193.0,8.889771419481878E-4,false
211,98.0,1.1129528593262467E-4,false
212,215.0,4.448840627366838E-4,false
213,38.0,1.780486783179235E-4,false
214,104.0,2.966773665125466E-4,false
215,135.0,8.889771419481878E-4,false
216,92.0,1.1129528593262467E-4,false
217,198.0,0.9912502386614132,false
218,27.0,5.238042482114334E-5,false
219,117.0,4.448840627366838E-4,false
220,160.0,8.889771419481878E-4,true
221,168.0,4.448840627366838E-4,false
222,117.0,4.448840627366838E-4,false
223,74.0,5.238042482114334E-5,false
224,74.0,5.238042482114334E-5,false
225,274.0,4.448840627366838E-4,true
226,214.0,2.966773665125466E-4,false
227,85.0,2.2254103632870947E-4,false
228,108.0,2.966773665125466E-4,true
229,130.0,8.889771419481878E-4,true
230,163.0,2.966773665125466E-4,false
231,872.0,8.889771419481878E-4,false
232,49.0,1.271905680056756E-4,false
233,123.0,2.966773665125466E-4,false
234,92.0,1.1129528593262467E-4,false
235,100.0,4.448840627366838E-4,false
236,42.0,9.89315898555732E-5,false
237,39.0,9.89315898555732E-5,false
238,53.0,2.2254103632870947E-4,false
239,266.0,8.889771419481878E-4,true
240,72.0,9.89315898555732E-5,false
241,99.0,8.889771419481878E-4,false
242,34.0,1.483827050464425E-4,false
243,22.0,2.2254103632870947E-4,false
244,27.0,5.238042482114334E-5,false
